	shNT_1	shNT_2	shNT_3	shNT_4	shNT_5	shMYOF_1	shMYOF_2	shMYOF_3	shMYOF_4	shMYOF_5
Label	0	0	0	0	0	1	1	1	1	1
LTB4-EA	0	1.12E-05	1.51E-05	8.99E-06	0	0	0	0	0	0
"11,12-EET"	3.95E-06	7.33E-06	0	4.28E-07	2.99E-06	0	0	0	0	0
18-HETE	0.000902504	0.001031983	0.000218597	0	6.14E-05	0	0	0	0	0
"8,15-DiHETE"	0.00217934	0.000232899	3.55E-05	0.000269943	8.71E-05	0	0	0	0	0
"14,15-EET"	0.000716844	0.000845785	6.62E-05	0.000127442	0.000131365	0	0	0	0	0
"13,14-dihydro-15-keto PGJ2"	0.000958272	0.00131331	0.00102722	0	0.000166582	0	0	0	0	0
16-HETE	0.000889586	0.002374266	8.67E-05	0	0.000705917	0	0	0	0	0
20-HDoHE	0.002781572	0.00296744	9.59E-05	0.000101915	0.000714695	0	0	0	0	0
13-KODE	0.041662433	0.017615798	0.001071124	0.000202332	0.001953159	0.000931412	0.000923161	0.001160434	0.001010993	0.000369378
"5,6-DHET"	0.000572632	0.00763357	0.000180347	0.00010312	0.000429624	0.000288206	0.000176427	0.000204534	0.000460323	0.000282915
LTB4	0.00550806	0.00487535	0.000193854	0.00017726	0.000564659	0.000762969	0.000516417	0.000379253	0.000233898	7.14E-05
15-keto-PGE2	0.000204383	0.000141648	3.82E-05	0	2.19E-05	3.75E-05	1.41E-05	0	2.18E-05	5.37E-06
"17,18-EpETE"	0.000229932	0.002342922	0.000569762	0.000812325	0.002238452	0.000365233	0.00066261	0.000182794	0	0
11-trans-LTC4	8.53E-05	0.00032953	5.52E-06	1.55E-05	7.44E-06	5.90E-05	2.25E-05	5.39E-06	5.19E-06	3.00E-06
5-KETE	7.67E-05	0.000107618	3.94E-06	4.84E-06	1.39E-05	3.21E-05	4.26E-06	5.25E-06	3.15E-06	0
9-HETE	0.002042744	0.002540046	0.000248459	0	0.00045068	0.000332197	0.000296706	0.000222327	0.000276976	7.11E-05
9-HODE	0.089000822	0.030258176	0.006375266	0.001466531	0.005394231	0.008279516	0.006703962	0.007025591	0.00590409	0.002768531
9-KODE	0.0147269	0.0076925	0.00221179	0.000406391	0.00149484	0.000872119	0.00183573	0.00200255	0.00176409	0.000301218
LTC4	5.07E-05	0.000329035	0	3.66E-06	5.79E-06	5.14E-05	2.30E-05	1.26E-05	6.26E-06	8.39E-06
13-HODE	0.133060745	0.048017371	0.009369335	0.003725153	0.008258865	0.014354057	0.013792763	0.013592486	0.010711005	0.005266785
15-KEDE	0.00030168	0.000452257	0.000045744	1.70E-05	0.000111958	0.000102585	4.38E-05	8.48E-05	4.41E-05	1.04E-05
"13,14-dihydro-15-keto-PGE2"	0.000711958	0.000888009	0.000557457	4.43E-05	0.000154796	0.000297704	7.06E-05	9.95E-05	0.000220664	6.75E-05
6-trans-LTB4	0.000853792	0.00268613	0.000214953	4.27E-05	0.000141839	0.000321029	0.000641874	0.000129886	0.000182138	0.000073899
"5S,6R-LXA4"	0.000101698	0.000200107	4.54E-05	2.65E-05	5.72E-05	4.27E-05	3.21E-05	3.70E-05	2.05E-05	2.03E-05
"13,14-dihydro-15-keto-PGF2a"	9.35E-05	0.000198988	0.000119223	8.51E-06	9.31E-06	4.55E-05	3.86E-05	2.89E-05	2.45E-05	1.86E-05
13-HDoHE	0.00584263	0.00644738	0.00181597	0.000249947	0.000792624	0.00202332	0.00143149	0.000507551	0.000784069	0.000850577
"11,12-DHET"	0.000389295	0.00639824	0	0.000120496	0.000311264	0.000756495	0.000719533	0.00042905	0.000610742	0.000250741
12-HEPE	0.005958419	0.008896836	0.001840443	0.000179101	0.002380367	0.002804418	0.001413567	0.001147427	0.001128666	0.000927949
"14,15-DHET"	0.00322292	0.01149	0.000932634	0.000778941	0.00167161	0.00207486	0.00301657	0.000830903	0.000994018	0.000465167
10-HDoHE	0.00571672	0.00550371	0.000378109	4.76E-05	0.00138096	0.00160441	0.00121414	0.00106856	0.00143347	0.000543728
5-HETE	0.015309359	0.017787385	0.000990172	0.001710206	0.001566128	0.006510798	0.003212678	0.001912103	0.003978816	0.001500612
19-HETE	0.00332062	0.0011759	0.00217483	0.000891732	0.00102879	0.00131415	0.000636292	0.00145035	0	0.000600214
"12,13-DiHOME"	0.111481	0.0424784	0.0216812	0.0133334	0.0200398	0.0168698	0.0229003	0.0221161	0.0205852	0.0154863
"9,10-DiHOME"	0.0557134	0.0433121	0.0188	0.0126905	0.0144715	0.0154986	0.01724	0.0162764	0.0146931	0.00955962
5-iPF2a-VI	1.306643357	0.636676218	0.097796484	0.255644321	0.176900189	0.3684803	0.294464737	0.28217003	0.204707986	0.111220472
"5,6-DHET-lactone"	0.002601313	0.005450691	0.001111654	0.000948895	0.00085735	0.001380859	0.001028436	0.000951351	0.001834377	0.0005295
8-HETE	0.0206505	0.0221982	0.00343665	0.000199593	0.00438455	0.00774628	0.00719524	0.00287368	0.00953779	0.00138018
15-HEDE	5.70E-05	3.23E-05	1.03E-05	1.86E-06	1.19E-05	1.98E-05	1.59E-05	7.89E-06	2.15E-05	1.50E-06
1a1b-dihomo-PGF2a	0.000277175	0.000252152	0.000187604	4.22E-05	3.47E-05	0.000159175	0.000153973	6.00E-05	7.32E-05	3.11E-05
"17,18-DiHETE"	0.00235015	0.00142645	0.00105722	0.000470053	0.000544612	0.000600292	0.00122281	0.000628735	0.000733113	0.000463766
"13,14-dihydro-15-keto-PGD2"	6.32E-05	3.35E-05	3.19E-05	6.42E-06	3.26E-06	5.08E-05	6.64E-06	8.13E-06	1.87E-05	5.01E-06
12-HETE	0.298685	0.441183	0.161519	0.0150662	0.261151	0.222402	0.207192	0.112603	0.18056	0.0403133
15-HETrE	0.005190204	0.005114058	0.000922105	0.000284955	9.63E-05	0.002839823	0.002684956	0.000165922	0.001898658	0.000588635
